Date,Open,High,Low,Close,Volume
2020-06-05,4.29,4.41,4.09,4.14,"6,274,428"
2020-06-08,4.28,5.14,4.27,5.01,"10,133,660"
2020-06-09,5.0,5.0,4.55,4.96,"8,073,448"
2020-06-10,4.78,5.53,4.68,5.07,"10,606,370"
2020-06-11,4.64,4.9,4.18,4.37,"6,235,993"
2020-06-12,4.6,4.78,4.39,4.72,"4,378,192"
2020-06-15,4.5,4.77,4.42,4.69,"3,910,385"
2020-06-16,4.95,4.95,4.51,4.64,"3,123,535"
2020-06-17,4.54,4.83,4.53,4.76,"3,593,466"
2020-06-18,4.67,4.95,4.65,4.95,"3,423,827"
2020-06-19,4.95,5.08,4.69,4.88,"7,365,867"
2020-06-22,4.79,4.95,4.72,4.87,"3,178,966"
2020-06-23,4.95,4.99,4.8,4.83,"3,205,372"
2020-06-24,4.83,4.84,4.38,4.41,"2,976,209"
2020-06-25,4.33,4.54,4.3,4.46,"2,450,936"
2020-06-26,4.48,4.5,4.27,4.35,"3,801,155"
2020-06-29,4.35,4.52,4.3,4.38,"2,131,330"
2020-06-30,4.33,4.51,4.2,4.34,"3,889,029"
2020-07-01,4.31,4.5,4.31,4.44,"2,304,101"
2020-07-02,4.49,4.51,4.29,4.29,"1,887,751"
2020-07-06,4.31,4.34,4.19,4.24,"2,140,879"
2020-07-07,4.2,4.25,4.06,4.09,"2,456,970"
2020-07-08,4.1,4.29,4.03,4.26,"2,052,829"
2020-07-09,4.27,4.32,4.13,4.21,"1,992,621"
2020-07-10,4.2,4.38,4.18,4.34,"1,410,828"
2020-07-13,4.35,4.55,4.26,4.26,"4,216,265"
2020-07-14,4.22,4.31,4.07,4.08,"2,261,589"
2020-07-15,4.13,4.29,4.13,4.19,"1,474,126"
2020-07-16,4.19,4.2,4.09,4.17,"1,330,461"
2020-07-17,4.16,4.23,3.94,3.96,"3,066,549"
2020-07-20,3.95,4.06,3.77,3.85,"3,401,088"
2020-07-21,3.9,4.09,3.88,4.01,"3,341,012"
2020-07-22,4.02,4.12,3.92,4.11,"2,523,547"
2020-07-23,4.09,4.31,4.06,4.11,"3,237,550"
2020-07-24,4.06,4.23,4.01,4.03,"2,216,295"
2020-07-27,4.02,4.12,3.95,4.01,"2,472,696"
2020-07-28,3.96,4.05,3.92,3.94,"4,555,392"
2020-07-29,3.94,4.18,3.92,4.06,"2,879,626"
2020-07-30,4.0,4.23,3.97,4.1,"2,398,485"
2020-07-31,4.06,4.16,3.99,4.01,"1,879,553"
2020-08-03,4.03,4.25,4.0,4.15,"2,518,010"
2020-08-04,4.13,4.74,4.13,4.43,"10,361,360"
2020-08-05,4.5,4.76,4.25,4.63,"4,925,697"
2020-08-06,4.6,4.66,4.38,4.43,"1,901,224"
2020-08-07,4.39,4.4,4.06,4.16,"3,341,099"
2020-08-10,4.2,4.57,4.18,4.33,"4,561,772"
2020-08-11,4.43,4.57,4.34,4.35,"3,139,105"
2020-08-12,4.4,4.63,4.36,4.52,"3,057,594"
2020-08-13,4.52,4.71,4.5,4.64,"2,128,313"
2020-08-14,4.6,4.83,4.55,4.75,"3,474,692"
2020-08-17,4.78,4.78,4.56,4.63,"2,370,970"
2020-08-18,4.61,4.87,4.44,4.81,"3,834,840"
2020-08-19,4.8,4.84,4.64,4.72,"2,612,583"
2020-08-20,4.62,4.68,4.51,4.61,"2,441,184"
2020-08-21,4.6,5.6,4.6,5.03,"10,642,590"
2020-08-24,5.1,5.13,4.56,4.87,"4,585,366"
2020-08-25,4.88,5.25,4.88,4.98,"2,998,678"
2020-08-26,4.97,5.22,4.92,5.11,"2,779,664"
2020-08-27,5.11,5.38,5.02,5.25,"3,384,658"
2020-08-28,5.3,5.57,5.22,5.39,"4,236,926"
2020-08-31,5.77,7.15,5.69,6.68,"37,976,000"
2020-09-01,7.3,7.82,6.77,7.65,"23,211,051"
2020-09-02,7.8,8.05,7.11,7.71,"13,011,110"
2020-09-03,7.88,8.45,7.24,7.82,"14,344,500"
2020-09-04,7.78,7.92,7.17,7.65,"7,661,994"
2020-09-08,7.55,8.28,7.48,7.7,"9,816,620"
2020-09-09,7.96,7.99,7.31,7.35,"9,068,082"
2020-09-10,6.65,6.95,6.19,6.23,"15,558,280"
2020-09-11,6.26,6.33,5.87,6.09,"6,061,190"
2020-09-14,6.8,7.0,6.43,6.91,"10,118,970"
2020-09-15,6.86,7.26,6.69,7.09,"5,743,489"
2020-09-16,7.03,9.04,7.03,8.68,"19,346,510"
2020-09-17,8.57,9.77,8.41,9.2,"17,026,721"
2020-09-18,9.2,9.77,8.91,9.47,"17,407,510"
2020-09-21,9.35,9.6,8.38,8.75,"7,639,806"
2020-09-22,10.45,11.17,9.9,10.56,"34,752,480"
2020-09-23,10.6,10.86,9.92,10.04,"10,651,150"
2020-09-24,9.71,9.81,9.01,9.14,"7,938,838"
2020-09-25,9.19,10.18,9.1,10.02,"7,515,157"
2020-09-28,10.16,10.26,9.55,10.09,"6,764,323"
2020-09-29,10.0,10.65,9.93,10.35,"5,244,339"
2020-09-30,10.25,10.76,10.06,10.2,"6,079,033"
2020-10-01,10.09,10.25,9.69,9.77,"4,554,055"
2020-10-02,9.38,9.78,9.3,9.39,"4,340,484"
2020-10-05,9.44,9.59,9.25,9.46,"2,804,969"
2020-10-06,9.56,9.84,9.1,9.13,"4,535,421"
2020-10-07,9.23,9.56,9.17,9.36,"3,308,644"
2020-10-08,9.54,13.64,9.19,13.49,"76,453,562"
2020-10-09,12.83,14.8,11.9,12.02,"77,152,781"
2020-10-12,11.66,12.77,11.4,11.8,"23,655,699"
2020-10-13,11.73,12.42,11.65,11.88,"10,179,710"
2020-10-14,12.67,12.68,12.05,12.25,"10,776,760"
2020-10-15,11.99,15.1,11.99,13.83,"39,894,820"
2020-10-16,13.77,13.9,13.08,13.31,"11,651,580"
2020-10-19,13.44,14.5,13.38,13.91,"13,169,070"
2020-10-20,14.03,14.14,13.67,13.86,"6,603,951"
2020-10-21,13.9,14.42,13.8,14.1,"5,361,928"
2020-10-22,14.2,15.87,14.19,14.91,"16,212,230"
2020-10-23,15.05,15.38,14.55,15.0,"6,507,324"
2020-10-26,14.93,15.45,13.26,13.45,"13,376,270"
2020-10-27,13.71,13.71,12.36,12.69,"7,231,006"
2020-10-28,12.27,13.05,11.78,11.82,"6,388,580"
2020-10-29,11.88,12.25,11.68,11.73,"4,165,843"
2020-10-30,11.64,11.64,10.36,10.47,"11,562,370"
2020-11-02,10.82,11.09,10.5,10.75,"5,227,011"
2020-11-03,10.75,11.86,10.63,11.57,"7,454,472"
2020-11-04,11.76,11.77,10.61,10.91,"5,807,871"
2020-11-05,11.27,11.84,11.06,11.45,"4,705,245"
2020-11-06,11.52,12.17,11.32,11.86,"5,518,243"
2020-11-09,12.76,12.93,11.25,11.49,"6,244,865"
2020-11-10,11.5,11.66,10.83,11.1,"3,825,963"
2020-11-11,11.5,11.95,11.21,11.75,"4,882,569"
2020-11-12,11.74,11.87,10.97,11.13,"4,355,892"
2020-11-13,11.36,11.55,11.0,11.01,"3,546,171"
2020-11-16,11.16,12.66,10.72,12.06,"9,774,824"
2020-11-17,11.65,11.92,11.23,11.63,"6,678,176"
2020-11-18,11.8,12.04,11.56,11.57,"3,169,222"
2020-11-19,11.6,12.79,11.45,12.46,"11,787,610"
2020-11-20,12.55,13.46,12.54,12.71,"8,402,347"
2020-11-23,12.9,14.12,12.67,13.9,"9,607,973"
2020-11-24,14.23,14.26,13.3,13.67,"7,186,710"
2020-11-25,13.6,15.25,13.42,14.75,"8,860,092"
2020-11-27,15.29,16.74,14.88,16.08,"12,504,200"
2020-11-30,18.17,19.42,16.56,16.56,"31,983,500"
2020-12-01,17.11,17.4,15.76,15.8,"12,666,030"
2020-12-02,15.7,16.68,15.38,16.58,"7,883,380"
2020-12-03,16.48,16.64,15.87,16.12,"6,294,965"
2020-12-04,16.3,17.29,16.26,16.9,"8,972,672"
2020-12-07,17.0,17.5,16.22,16.35,"7,386,258"
2020-12-08,16.37,17.21,15.93,16.94,"16,120,160"
2020-12-09,13.92,14.73,13.23,13.66,"24,357,939"
2020-12-10,13.12,14.41,13.05,14.12,"7,558,922"
2020-12-11,13.91,14.0,13.02,13.31,"7,496,868"
2020-12-14,13.34,13.43,12.14,12.72,"10,007,090"
2020-12-15,12.78,14.02,12.48,13.85,"8,192,856"
2020-12-16,13.96,14.31,13.58,13.85,"5,865,123"
2020-12-17,13.96,14.98,13.59,14.83,"8,194,902"
2020-12-18,15.78,16.3,15.18,15.63,"16,618,779"
2020-12-21,15.81,16.35,15.28,15.53,"9,876,128"
2020-12-22,16.22,20.04,16.15,19.46,"30,687,721"
2020-12-23,20.17,22.35,19.13,20.57,"25,830,260"
2020-12-24,21.01,21.48,19.95,20.15,"6,262,174"
2020-12-28,21.31,21.97,20.35,20.99,"8,965,858"
2020-12-29,20.82,21.07,18.56,19.38,"9,241,441"
2020-12-30,19.38,20.0,18.85,19.26,"5,934,391"
2020-12-31,19.25,19.8,18.8,18.84,"6,922,652"
2021-01-04,19.0,19.1,17.15,17.25,"10,022,470"
2021-01-05,17.35,18.08,17.23,17.37,"4,961,457"
2021-01-06,17.34,18.98,17.33,18.36,"6,056,248"
2021-01-07,18.47,19.45,18.02,18.08,"6,129,276"
2021-01-08,18.18,18.3,17.08,17.69,"6,481,960"
2021-01-11,19.41,20.65,19.01,19.94,"14,927,610"
2021-01-12,19.96,20.4,19.32,19.95,"7,060,665"
2021-01-13,20.42,38.65,20.03,31.4,"144,501,703"
2021-01-14,38.09,43.06,33.05,39.91,"93,717,406"
2021-01-15,38.49,40.75,34.01,35.5,"46,866,359"
2021-01-19,41.55,45.52,36.64,39.36,"74,721,922"
2021-01-20,37.37,41.19,36.06,39.12,"33,471,789"
2021-01-21,39.23,44.75,37.0,43.03,"57,079,754"
2021-01-22,42.59,76.76,42.32,65.01,"197,157,906"
2021-01-25,96.73,159.18,61.13,76.79,"177,874,000"
2021-01-26,88.56,150.0,80.2,147.98,"178,588,000"
2021-01-27,354.83,380.0,249.0,347.51,"93,396,672"
2021-01-28,265.0,483.0,112.25,193.6,"58,815,809"
2021-01-29,379.71,413.98,250.0,325.0,"50,566,059"
2021-02-01,316.56,322.0,212.0,225.0,"37,382,152"
