Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,OBV
2011-09-30,260.365356,262.262268,257.447449,257.777771,257.777771,5441700.0,267.3723703333333,40.22101740894202,16594200.0
2011-10-03,255.180176,256.256256,247.747742,248.008011,248.008011,8939800.0,265.41040925,33.48574118033953,7654400.0
2011-10-04,245.260254,251.97197,240.540543,251.201202,251.201202,8309200.0,263.542708,37.1880313166532,15963600.0
2011-10-05,248.423416,254.15416,240.625626,252.6026,252.6026,9059100.0,261.792207,38.79809088346406,25022700.0
2011-10-06,254.003998,257.872864,251.551544,257.61261,257.61261,6841700.0,260.46087508333335,44.29542560889665,31864400.0
2011-10-07,258.673676,260.510498,255.405411,257.81781,257.81781,5706000.0,259.4565365,44.515254241867474,37570400.0
2011-10-10,262.852844,269.003998,261.861847,268.853851,268.853851,4639700.0,260.14514275,54.83784457472173,42210100.0
2011-10-11,266.997009,273.673676,266.997009,271.861847,271.861847,5701000.0,260.8821295833333,57.17639607155561,47911100.0
2011-10-12,274.339325,277.892883,272.587585,274.524536,274.524536,6349200.0,261.5749065833333,59.19085159010584,54260300.0
2011-10-13,275.290283,279.779785,274.284271,279.77478,279.77478,11363800.0,262.3944765,62.897034255003526,65624100.0
2011-10-14,300.035034,300.100098,294.079071,296.136139,296.136139,17042700.0,265.0154304166667,71.56392786673737,82666800.0
2011-10-17,292.152161,296.211212,289.289276,291.49649,291.49649,8008300.0,267.30563724999996,66.7988063731772,74658500.0
2011-10-18,290.385376,296.576569,288.988983,295.550537,295.550537,7593900.0,270.45336775000004,68.75642829968868,82252400.0
2011-10-19,293.963959,296.326324,289.899902,290.640656,290.640656,5857100.0,274.00608816666664,63.84645865565744,76395300.0
2011-10-20,291.241241,294.739746,290.045044,292.127136,292.127136,6751200.0,277.41658266666667,64.6690675217061,83146500.0
2011-10-21,295.050049,296.671661,293.643646,295.540527,295.540527,6775200.0,280.99474325,66.55113659782933,89921700.0
2011-10-24,293.653656,300.285278,293.543549,298.508514,298.508514,6846900.0,284.40273525,68.14034957975474,96768600.0
2011-10-25,296.846832,297.797791,291.716705,291.871857,291.871857,5075900.0,287.2405725,61.14464836438929,91692700.0
2011-10-26,295.070068,295.385376,286.716705,293.448456,293.448456,5740400.0,289.2901229166667,62.13907929411284,97433100.0
2011-10-27,299.509521,301.651642,296.94696,299.634644,299.634644,7553000.0,291.6045226666667,65.8339949687064,104986100.0
2011-10-28,297.557556,301.451447,297.422424,300.370361,300.370361,5010900.0,293.75834141666667,66.25577419843813,109997000.0
2011-10-31,297.842834,300.145142,296.131134,296.616608,296.616608,5110400.0,295.1618270833333,62.04703870787744,104886600.0
2011-11-01,290.340332,293.048035,288.663666,289.614624,289.614624,6243900.0,294.61836750000003,55.02550419483823,98642700.0
2011-11-02,292.742737,294.274261,290.530518,292.702698,292.702698,4237500.0,294.71888483333333,57.31949560506117,102880200.0
2011-11-03,293.793793,299.049042,292.152161,299.049042,299.049042,5334200.0,295.01042691666663,61.64886192172378,108214400.0
2011-11-04,297.047058,300.170166,296.511505,298.368378,298.368378,5663900.0,295.65440375,60.93493298598583,102550500.0
2011-11-07,296.95697,304.694702,296.411407,304.469482,304.469482,6708000.0,296.6829325833333,64.86280509101519,109258500.0
2011-11-08,304.80481,307.492493,302.102112,306.476471,306.476471,6052700.0,297.59426125,66.07133333658578,115311200.0
2011-11-09,302.432434,305.0,299.629639,300.775787,300.775787,7414500.0,297.78320066666663,59.78170905525652,107896700.0
2011-11-10,303.26828,303.27829,296.07608,297.83783,297.83783,5731000.0,298.2803650833334,56.7816960115768,102165700.0
